key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1"
0.0051,space,2.9214,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,144.9891,left,28.9788,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,174.0728,left,19.2207,,,,,,,,,,,,,,,,,,,,,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,193.4284,left,13.5617,,,,,,,,,,,,,,,,,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",0.7427,,up,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.6306,,up,1.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.6482,,left,1.5,,stimuli/card_10_transparent.png,120,10,2,0,2,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.9486,,right,0.5,,stimuli/card_10_transparent.png,130,10,3,0,3,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.4154,,up,0.5,,stimuli/card_100_transparent.png,230,100,4,0,4,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.4154,,left,1.5,,stimuli/card_10_transparent.png,240,10,5,0,5,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.3283,,up,1,,stimuli/card_100_transparent.png,340,100,6,0,6,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.4198,,right,0.5,,stimuli/card_10_transparent.png,350,10,7,0,7,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.5448,,up,1.5,,stimuli/card_100_transparent.png,450,100,8,0,8,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.2158,,left,1.5,,stimuli/card_10_transparent.png,460,10,9,0,9,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.4284,,up,1,,stimuli/card_0_transparent.png,460,0,10,0,10,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.635,,up,1,,stimuli/card_0_transparent.png,460,0,11,0,11,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.703,,up,0.5,,stimuli/card_0_transparent.png,460,0,12,0,12,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.1098,,left,1,,stimuli/card_10_transparent.png,470,10,13,0,13,0,1,
,,,,1,2023-10-27_12h53.38.653,SlotMachine_updated,2023.1.3,Win32,11.98724557,,,,,,,,,,,,,,,0.418,,right,0.5,,stimuli/card_100_transparent.png,570,100,14,0,14,0,1,
