key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0004,space,1.7313,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,1.7422,space,3.4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,5.1852,space,10.2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,15.5087,space,4.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,161.5509,space,22.6514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",184.2233,0,1.6533,,left,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,,,187.1952,1,0.814,,up,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,,,189.824,2,0.6804,,up,0.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5589a2ddfdf99b7ae47f60ed,A,2024-07-04_07h43.25.968,Slot Machine Game,2023.1.3,Win32,74.07407407,,,,,,,,,,,,,,,,,,,191.8118,3,0.2264,,up,1.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
