key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_presentationInterval,reward_presentation_time,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,main_trial_rt,main_trial_duration,main_reward_seq,reward_rand_val,main_reward_img,current_reward,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,space,3.5634,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,3.588,space,22.0268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,25.6547,space,10.3968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,36.0879,space,7.0594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,184.8931,space,4.2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",189.1643,0,2.4338,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,193.4519,1,0.6349,,left,0.5,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,195.4514,2,1.2317,,up,0.5,,stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,198.0514,3,0.3988,,up,0.5,,stimuli/card_100_transparent.png,220,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
