key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,space,2.5909,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,2.6068,space,5.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,7.8912,space,17.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,25.2245,space,6.8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,174.0824,space,3.3886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",177.4973,0,0.3383,,up,1,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,179.661,1,1.5998,,left,1,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,183.1058,2,0.9623,,right,1,,stimuli/card_0_transparent.png,10,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,185.9058,3,0.5197,,left,1,,stimuli/card_0_transparent.png,10,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,188.2392,4,0.6527,,right,1,,stimuli/card_100_transparent.png,110,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,190.7058,5,0.8763,,right,1.5,,stimuli/card_0_transparent.png,110,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,193.8937,6,1.3031,,up,1,,stimuli/card_10_transparent.png,120,10,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,197.0271,7,1.4111,,up,1,,stimuli/card_100_transparent.png,220,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,200.2558,8,0.1088,,up,1,,stimuli/card_10_transparent.png,230,10,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,202.1892,9,2.0676,,up,1,,stimuli/card_0_transparent.png,230,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,206.0892,10,0.0595,,left,0.5,,stimuli/card_100_transparent.png,330,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,207.4559,11,0.5417,,left,0.5,,stimuli/card_10_transparent.png,340,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,209.3226,12,0.0006,,left,0.5,,stimuli/card_10_transparent.png,350,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,210.656,13,2.605,,left,0.5,,stimuli/card_10_transparent.png,360,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,214.6059,14,0.0387,,right,1.5,,stimuli/card_10_transparent.png,370,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",221.9948,0,0.9756,,up,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,216.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,225.2915,1,0.2473,,up,0.5,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,226.8559,2,0.0339,,up,1,,stimuli/card_0_transparent.png,100,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,228.7226,3,1.5354,,left,1,,stimuli/card_100_transparent.png,200,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,232.1056,4,0.0434,,left,1.5,,stimuli/card_0_transparent.png,200,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,234.4558,5,2.4192,,left,0.5,,stimuli/card_100_transparent.png,300,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,238.1893,6,0.1756,,left,1,,stimuli/card_100_transparent.png,400,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,240.1893,7,0.0502,,left,1.5,,stimuli/card_0_transparent.png,400,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,242.5726,8,0.0545,,left,1.5,,stimuli/card_0_transparent.png,400,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,244.9386,9,2.2743,,right,0.5,,stimuli/card_100_transparent.png,500,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,248.5226,10,0.1672,,right,1.5,,stimuli/card_0_transparent.png,500,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,251.0272,11,0.6061,,right,1.5,,stimuli/card_10_transparent.png,510,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,253.9557,12,0.5827,,right,1,,stimuli/card_10_transparent.png,520,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,256.3393,13,1.8462,,up,1,,stimuli/card_100_transparent.png,620,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,260.0058,14,0.2002,,up,1,,stimuli/card_100_transparent.png,720,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0394,,,267.0433,space,2.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.857,2,"[2,4,8,0,1,3,9,6,8,5]",space,1.4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",271.3496,0,left,0.1176,,0.5,0.3,"[3,1,2]",0.823612627,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,3,,,272.7898,1,left,1.0717,,1.5,0.3,"[3,1,2]",0.144274722,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,3,,,276.1895,2,up,1.2176,,0.5,0.3,"[3,1,2]",0.08128417,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,1,3,,,278.7395,3,up,0.5007,,1.5,0.3,"[3,1,2]",0.987071916,stimuli/card_100_transparent.png,100,3,0,3,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,3,,,281.5729,4,up,0.0885,,1,0.3,"[3,1,2]",0.998278576,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,3,,,283.4894,5,up,0.7077,,1,0.3,"[3,1,2]",0.646487687,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,1,3,,,286.0229,6,up,0.4238,,1.5,0.3,"[3,1,2]",0.391287926,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,,,,,
,,,,59ed38ef3e4b5a00016aa904,A,2024-07-02_15h51.08.662,Slot Machine Game,2023.1.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,1,3,,,288.7724,7,up,0.0009,,0.5,0.3,"[3,1,2]",0.297299077,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,,,,,
