key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0006,space,3.0752,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,3.0938,space,16.7849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,19.9107,space,47.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,67.0932,space,19.9193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,228.8468,space,3.4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",232.2754,0,1.4163,,left,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,236.0237,1,0.8568,,left,0.5,,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,238.2065,2,0.4584,,left,0.5,,stimuli/card_10_transparent.png,120,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,239.9896,3,1.0787,,up,1.5,,stimuli/card_100_transparent.png,220,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,243.3896,4,0.1562,,up,1.5,,stimuli/card_100_transparent.png,320,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,245.8732,5,0.1059,,up,1,,stimuli/card_10_transparent.png,330,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,247.8106,6,0.2677,,up,1.5,,stimuli/card_100_transparent.png,430,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,250.406,7,0.7996,,up,1,,stimuli/card_100_transparent.png,530,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,253.0273,8,0.7826,,up,1.5,,stimuli/card_100_transparent.png,630,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,256.1224,9,0.0097,,up,1,,stimuli/card_10_transparent.png,640,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,257.9396,10,0.2703,,up,1.5,,stimuli/card_0_transparent.png,640,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,260.5393,11,0.5337,,up,1,,stimuli/card_0_transparent.png,640,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,262.9102,12,1.5064,,up,1,,stimuli/card_0_transparent.png,640,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,266.2394,13,0.0237,,up,1.5,,stimuli/card_0_transparent.png,640,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,268.6054,14,2.1922,,right,1.5,,stimuli/card_100_transparent.png,740,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",278.1326,0,0.7933,,right,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,273.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,280.2553,1,1.551,,up,1.5,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,284.1391,2,4.0487,,left,1.5,,stimuli/card_10_transparent.png,20,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,290.5055,3,0.1649,,left,0.5,,stimuli/card_100_transparent.png,120,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,291.9888,4,0.1177,,left,1.5,,stimuli/card_100_transparent.png,220,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,294.4389,5,0.2499,,left,0.5,,stimuli/card_0_transparent.png,220,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,296.0054,6,1.3649,,right,0.5,,stimuli/card_10_transparent.png,230,10,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,298.6722,7,0.0059,,right,1.5,,stimuli/card_0_transparent.png,230,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,301.0051,8,2.782,,up,1.5,,stimuli/card_0_transparent.png,230,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,306.1054,9,0.0991,,left,0.5,,stimuli/card_0_transparent.png,230,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,307.522,10,1.3541,,left,0.5,,stimuli/card_0_transparent.png,230,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,310.2217,11,0.0187,,left,1.5,,stimuli/card_0_transparent.png,230,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,312.5924,12,1.4684,,up,0.5,,stimuli/card_100_transparent.png,330,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,315.3884,13,1.6231,,up,1,,stimuli/card_100_transparent.png,430,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,318.843,14,1.3733,,up,0.5,,stimuli/card_100_transparent.png,530,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.555,,,326.5603,space,4.6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.2387,2,"[2,4,8,0,1,3,9,6,8,5]",space,4.1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",335.3829,0,up,1.1084,,0.5,0.3,"[3,1,2]",0.946928824,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,1,3,,,337.8215,1,up,1.3508,,1,0.3,"[3,1,2]",0.425339477,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,3,,,341.0045,2,up,0.6825,,1.5,0.3,"[3,1,2]",0.169427711,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,1,3,,,344.0042,3,up,1.1458,,0.5,0.3,"[3,1,2]",0.151026134,stimuli/card_10_transparent.png,10,3,0,3,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,1,3,,,346.4714,4,up,0.3887,,1.5,0.3,"[3,1,2]",0.303020429,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,1,3,,,349.1879,5,up,0.0436,,1.5,0.3,"[3,1,2]",0.400889158,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,1,3,,,351.5376,6,up,0.4366,,1,0.3,"[3,1,2]",0.914897321,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,1,3,,,353.7878,7,up,0.212,,1,0.3,"[3,1,2]",0.848112871,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,1,3,,,355.8199,8,up,0.0121,,1,0.3,"[3,1,2]",0.166454368,stimuli/card_10_transparent.png,10,8,0,8,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,1,3,,,357.6703,9,up,0.2839,,1.5,0.3,"[3,1,2]",0.84580803,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,1,3,,,360.2701,10,up,0.3162,,1.5,0.3,"[3,1,2]",0.025067092,stimuli/card_0_transparent.png,0,10,0,10,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,,,,,,,,,,,,,,,1,3,,,362.9036,11,up,0.0536,,0.5,0.3,"[3,1,2]",0.586231305,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,1,3,,,364.2869,12,up,0.2484,,1.5,0.3,"[3,1,2]",0.115491197,stimuli/card_10_transparent.png,10,12,0,12,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,940,,,,,,,,,,,,,,,,,,,,,1,3,,,366.87,13,up,0.5376,,0.5,0.3,"[3,1,2]",0.261417567,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,,,,,,,,,,,,1,3,,,368.7202,14,up,0.6048,,0.5,0.3,"[3,1,2]",0.379505539,stimuli/card_100_transparent.png,100,14,0,14,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.6372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1040],0,0,0,0,1,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",375.6474,0,left,0.9179,,1,0.3,"[1,2,3]",0.589031035,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,2,5,,,378.3868,1,right,0.4,,0.5,0.3,"[1,2,3]",0.677607431,stimuli/card_0_transparent.png,0,1,0,1,0,1,,,,,,,,,,
,,,,5ba961b460f3d500016a2970,B,2024-06-22_12h25.57.705,Slot Machine Game,2023.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,2,5,,,380.12,2,left,1.5193,,1,0.3,"[1,2,3]",0.056223302,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,,,,,
