key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.001,space,2.3009,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,2.3234,space,8.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,11.1518,space,38.7376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,49.9254,space,7.9713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,199.7273,space,3.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",203.5107,0,0.5614,,left,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,205.4049,1,0.2326,,left,0.5,,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,206.9544,2,0.2357,,left,1.5,,stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5dd984381096ea907a3272f2,B,2024-06-22_18h45.18.048,Slot Machine Game,2023.1.3,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,209.5194,3,0.4497,,left,1,,stimuli/card_10_transparent.png,130,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
