key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
1E-04,return,1.77,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,1.7793,space,5.2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,7.0115,space,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,7.035,space,6.8781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,155.5537,space,3.2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",158.8569,0,0.8278,,left,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,161.9868,1,0.2805,,right,1.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,164.572,2,0.7115,,right,1.5,,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,167.5882,3,0.6391,,right,0.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,169.5303,4,0.0011,,up,0.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,170.8351,5,0.0881,,up,1,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,172.7288,6,0.0423,,up,1.5,,stimuli/card_10_transparent.png,320,10,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,175.0772,7,0.1658,,up,0.5,,stimuli/card_100_transparent.png,420,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,176.5459,8,0.2094,,up,1.5,,stimuli/card_10_transparent.png,430,10,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,179.0585,9,0.128,,up,0.5,,stimuli/card_0_transparent.png,430,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,180.4908,10,0.2078,,left,1.5,,stimuli/card_10_transparent.png,440,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,183.0033,11,0.0558,,right,1.5,,stimuli/card_100_transparent.png,540,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,185.364,12,0.2386,,right,1,,stimuli/card_100_transparent.png,640,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,187.4094,13,0.0417,,right,1.5,,stimuli/card_0_transparent.png,640,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,189.752,14,0.0267,,right,1,,stimuli/card_100_transparent.png,740,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",196.5906,0,1.3395,,left,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,191.5897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,199.2316,1,0.1955,,right,1,,stimuli/card_0_transparent.png,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,201.2343,2,0.2407,,up,1,,stimuli/card_0_transparent.png,0,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,203.2795,3,0.2746,,up,0.5,,stimuli/card_0_transparent.png,0,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,204.8575,4,0.0092,,left,0.5,,stimuli/card_100_transparent.png,100,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,206.1688,5,0.0748,,left,1.5,,stimuli/card_0_transparent.png,100,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,208.5475,6,0.2228,,right,1,,stimuli/card_100_transparent.png,200,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5eb14f940be27c23a52be442,A,2024-07-12_18h31.56.883,Slot Machine Game,2023.1.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,210.5744,7,0.085,,right,1,,stimuli/card_10_transparent.png,210,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
