key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,space,3.2984,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,3.3911,space,9.3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,12.8052,space,19.6423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,32.5851,space,7.7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,183.2139,space,6.4174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",189.7707,0,1.3892,,up,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,193.1157,1,1.5109,,up,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,196.5731,2,0.142,,up,0.5,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,198.0977,3,1.363,,right,1.5,,stimuli/card_0_transparent.png,300,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,201.8012,4,0.9633,,left,1,,stimuli/card_10_transparent.png,310,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,204.7066,5,0.5455,,up,1.5,,stimuli/card_0_transparent.png,310,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,207.592,6,0.6884,,left,1,,stimuli/card_0_transparent.png,310,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,210.1959,7,0.5742,,right,0.5,,stimuli/card_0_transparent.png,310,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,212.1329,8,0.2957,,right,0.5,,stimuli/card_0_transparent.png,310,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,213.7785,9,0.4197,,up,1.5,,stimuli/card_10_transparent.png,320,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,216.5513,10,0.1587,,right,0.5,,stimuli/card_100_transparent.png,420,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,218.0731,11,1.4976,,left,1.5,,stimuli/card_0_transparent.png,420,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,221.9147,12,0.1461,,right,0.5,,stimuli/card_100_transparent.png,520,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,223.4158,13,0.7107,,up,1,,stimuli/card_0_transparent.png,520,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,226.0217,14,0.8384,,up,0.5,,stimuli/card_0_transparent.png,520,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",233.2723,0,1.7602,,left,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,228.3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,236.3972,1,1.5053,,left,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,239.8314,2,0.2736,,left,1,,stimuli/card_0_transparent.png,200,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,242.0463,3,0.2812,,right,0.5,,stimuli/card_10_transparent.png,210,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,243.6939,4,2.0398,,up,1,,stimuli/card_0_transparent.png,210,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,247.6708,5,1.7747,,up,0.5,,stimuli/card_0_transparent.png,210,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,250.8079,6,1.3654,,left,1,,stimuli/card_100_transparent.png,310,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,254.0983,7,0.4158,,up,0.5,,stimuli/card_100_transparent.png,410,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60e5868307d715a4d1445116,B,2024-06-26_15h34.37.336,Slot Machine Game,2023.1.3,Win32,12.00480192,,,,,,,,,,,,,,,,,,,255.9012,8,0.0105,,left,1.5,,stimuli/card_0_transparent.png,410,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
