key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,space,4.2929,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,4.3134,space,9.6828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,14.0288,space,10.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,24.1429,space,5.6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,171.5141,right,2.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",173.8604,0,1.0172,,right,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,177.2056,1,2.1836,,up,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,181.2049,2,0.4254,,up,1.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,183.9751,3,0.4725,,up,1.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,186.7865,4,0.071,,up,1,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,188.7031,5,0.3725,,up,0.5,,stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,190.4197,6,0.2215,,up,1.5,,stimuli/card_100_transparent.png,600,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,192.9859,7,0.4011,,up,0.5,,stimuli/card_100_transparent.png,700,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,194.7352,8,0.3761,,up,1.5,,stimuli/card_100_transparent.png,800,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,197.435,9,0.1675,,up,0.5,,stimuli/card_0_transparent.png,800,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,198.952,10,0.0867,,left,0.5,,stimuli/card_0_transparent.png,800,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,200.3678,11,0.1376,,right,1.5,,stimuli/card_100_transparent.png,900,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,202.8344,12,0.294,,right,1,,stimuli/card_100_transparent.png,1000,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,204.9679,13,0.3596,,right,0.5,,stimuli/card_100_transparent.png,1100,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,206.6511,14,0.252,,right,1,,stimuli/card_100_transparent.png,1200,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",213.7778,0,0.7208,,up,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,208.7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,216.8325,1,0.3355,,right,1,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,218.9993,2,0.1738,,left,0.5,,stimuli/card_10_transparent.png,20,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,220.5158,3,0.3517,,left,0.5,,stimuli/card_100_transparent.png,120,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6306d4da805f2e38a841c3ad,B,2024-06-21_18h05.19.480,Slot Machine Game,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,222.202,4,0.3413,,left,1,,stimuli/card_10_transparent.png,130,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
