key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0006,space,3.8447,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,3.8611,space,9.8731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,13.7466,space,26.0954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,39.8607,space,8.6356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,190.2115,space,4.1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",194.3529,0,2.6016,,left,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,199.281,1,0.6527,,up,1.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,202.2814,2,0.7505,,up,0.5,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,204.36,3,0.0006,,up,0.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,205.6955,4,0.077,,up,1,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,207.5766,5,0.0009,,up,1.5,,stimuli/card_0_transparent.png,410,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,209.8932,6,0.3007,,up,1.5,,stimuli/card_100_transparent.png,510,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,212.5121,7,0.0009,,up,0.5,,stimuli/card_100_transparent.png,610,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,213.8435,8,0.0147,,up,1.5,,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,216.1934,9,0.7506,,up,1,,stimuli/card_0_transparent.png,710,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,218.7602,10,0.0502,,up,1,,stimuli/card_0_transparent.png,710,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,220.6433,11,0.1647,,right,1.5,,stimuli/card_100_transparent.png,810,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,223.1098,12,0.2309,,right,0.5,,stimuli/card_100_transparent.png,910,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,224.6649,13,0.4229,,right,1,,stimuli/card_100_transparent.png,1010,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,226.9265,14,0.2996,,right,1.5,,stimuli/card_0_transparent.png,1010,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",234.5671,0,1.3593,,up,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,229.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,237.7599,1,0.5839,,up,0.5,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,239.6765,2,0.0711,,up,1.5,,stimuli/card_0_transparent.png,100,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,242.0934,3,0.677,,left,0.5,,stimuli/card_100_transparent.png,200,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,244.0765,4,0.068,,left,1,,stimuli/card_100_transparent.png,300,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,245.9782,5,0.4886,,left,0.5,,stimuli/card_100_transparent.png,400,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,247.7936,6,0.2602,,left,0.5,,stimuli/card_0_transparent.png,400,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,249.3764,7,0.034,,left,0.5,,stimuli/card_0_transparent.png,400,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,250.7102,8,0.431,,up,0.5,,stimuli/card_100_transparent.png,500,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,252.462,9,0.2993,,up,0.5,,stimuli/card_100_transparent.png,600,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,254.0932,10,0.1196,,up,1,,stimuli/card_100_transparent.png,700,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,256.0266,11,0.0335,,up,1,,stimuli/card_100_transparent.png,800,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,257.8767,12,0.0041,,up,1,,stimuli/card_100_transparent.png,900,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,259.6779,13,0.4506,,up,0.5,,stimuli/card_100_transparent.png,1000,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,261.4431,14,0.1339,,up,0.5,,stimuli/card_100_transparent.png,1100,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.8949,,,267.8942,space,2.7684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6816,3,"[0,4,6,3,5,7,8,1,9,2]",space,3.3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",274.0677,0,left,0.2582,,1.5,0.3,"[2,1,3]",0.15041307,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,1,1,,,276.6433,1,left,0.5781,,0.5,0.3,"[2,1,3]",0.105432884,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,1,,,278.543,2,left,0.284,,1.5,0.3,"[2,1,3]",0.467314342,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,1,,,281.1597,3,up,0.1104,,1.5,0.3,"[2,1,3]",0.634446272,stimuli/card_100_transparent.png,100,3,0,3,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,1,1,,,283.5931,4,up,0.0033,,1,0.3,"[2,1,3]",0.87156654,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,1,1,,,285.4096,5,up,0.3218,,1,0.3,"[2,1,3]",0.751234088,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,1,1,,,287.5597,6,up,0.0547,,1.5,0.3,"[2,1,3]",0.854382953,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,1,1,,,289.943,7,up,0.303,,0.5,0.3,"[2,1,3]",0.676211135,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,1,1,,,291.5764,8,up,0.2769,,1.5,0.3,"[2,1,3]",0.854979941,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,1,,,294.1764,9,up,0.1025,,1.5,0.3,"[2,1,3]",0.631583892,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,1,1,,,296.6099,10,up,0.0325,,0.5,0.3,"[2,1,3]",0.837940968,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,,,,1,1,,,297.9764,11,up,0.0512,,1,0.3,"[2,1,3]",0.566992189,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,,,,1,1,,,299.8596,12,up,0.0412,,0.5,0.3,"[2,3,1]",0.889113961,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,1,1,,,301.2268,13,right,0.1033,,1.5,0.3,"[2,3,1]",0.382537529,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,,,,,,,,1,1,,,303.6598,14,right,0.0534,,0.5,0.3,"[2,3,1]",0.246176399,stimuli/card_100_transparent.png,100,14,0,14,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1310],0,0,0,0,1,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",310.0513,0,left,0.1791,,0.5,0.3,"[1,2,3]",0.00764491,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,5,,,311.5429,1,up,0.2475,,1,0.3,"[1,2,3]",0.703006607,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,,,,,
,,,,6312bdcf64c0abf681b89dd5,B,2024-06-21_17h05.22.270,Slot Machine Game,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,5,,,313.6097,2,right,0.1534,,1,0.3,"[1,2,3]",0.23014162,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,,,,,
