key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
1E-04,space,2.2765,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,2.2815,a,19.9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,22.2505,space,21.2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,43.4919,space,5.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,190.8302,left,2.4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",193.261,0,0.6754,,left,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,196.2606,1,0.5894,,left,1,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,198.6529,2,0.0695,,left,1,,stimuli/card_10_transparent.png,20,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,200.5246,3,0.0201,,up,0.5,,stimuli/card_10_transparent.png,30,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,201.8559,4,1.9634,,right,1,,stimuli/card_0_transparent.png,30,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,205.6398,5,0.4699,,left,1.5,,stimuli/card_10_transparent.png,40,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,208.4129,6,0.6412,,up,1.5,,stimuli/card_100_transparent.png,140,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,211.3854,7,0.1362,,up,1.5,,stimuli/card_100_transparent.png,240,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,213.8278,8,0.0602,,up,1,,stimuli/card_100_transparent.png,340,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,215.6994,9,0.5993,,up,0.5,,stimuli/card_0_transparent.png,340,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,217.6014,10,0.3065,,up,0.5,,stimuli/card_0_transparent.png,340,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63e51ddb19fccd05514c629c,B,2024-06-21_16h40.39.765,Slot Machine Game,2023.1.3,Win32,99.00990099,,,,,,,,,,,,,,,,,,,219.223,11,0.7659,,right,1,,stimuli/card_100_transparent.png,440,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
