key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
9.99999E-05,space,3.8639,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,3.8819,space,7.6301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,11.5297,space,18.9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,30.5134,space,5.9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,178.2305,space,2.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",181.0339,0,3.6248,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,186.4809,1,1.4019,,up,0.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,189.2133,2,0.3476,,up,1.5,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,191.8799,3,0.7242,,up,1.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,194.9301,4,0.1445,,up,1.5,,stimuli/card_0_transparent.png,310,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,197.3957,5,0.6199,,up,1,,stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,199.83,6,0.0562,,up,1,,stimuli/card_100_transparent.png,510,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,201.7133,7,0.0446,,up,1,,stimuli/card_0_transparent.png,510,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,203.5801,8,0.1679,,up,1,,stimuli/card_100_transparent.png,610,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,205.58,9,0.016,,up,1,,stimuli/card_10_transparent.png,620,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,207.43,10,0.5354,,up,0.5,,stimuli/card_0_transparent.png,620,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,209.2969,11,0.2667,,right,1,,stimuli/card_100_transparent.png,720,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,211.3967,12,0.0134,,right,1,,stimuli/card_100_transparent.png,820,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,213.2296,13,0.1239,,right,1,,stimuli/card_100_transparent.png,920,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,215.1633,14,0.3851,,right,0.5,,stimuli/card_100_transparent.png,1020,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",221.9125,0,0.5176,,up,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,216.8934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,650da3cd39ce5bd96dac710d,A,2024-07-01_11h47.58.077,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,223.7467,1,0.2003,,left,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
