key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,space,4.465,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,4.4806,space,14.4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,18.9955,space,56.2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,75.2585,space,14.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,232.1478,space,5.4059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",237.571,0,3.7764,,up,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,243.6731,1,1.1502,,up,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,246.6556,2,0.9674,,up,1,,stimuli/card_10_transparent.png,210,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,249.455,3,2.4922,,up,0.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,253.2713,4,1.7601,,up,1.5,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,257.3543,5,1.6675,,up,0.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,260.354,6,1.4906,,up,1,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,263.6703,7,0.9049,,up,1.5,,stimuli/card_100_transparent.png,710,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,266.9033,8,0.8764,,up,1,,stimuli/card_100_transparent.png,810,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,269.6032,9,0.9166,,up,1,,stimuli/card_100_transparent.png,910,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,272.3527,10,0.852,,up,0.5,,stimuli/card_0_transparent.png,910,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,274.5359,11,2.0196,,up,1.5,,stimuli/card_0_transparent.png,910,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,278.8854,12,2.384,,up,0.5,,stimuli/card_0_transparent.png,910,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e62157b9362caf030786ab,B,2024-07-01_09h44.05.289,Slot Machine Game,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,282.6018,13,0.535,,left,0.5,,stimuli/card_10_transparent.png,920,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
