key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0004,space,3.786,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,3.806,space,12.1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,15.9318,space,41.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,56.9967,space,12.4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,211.6014,space,1.6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",213.2826,0,3.7001,,up,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,218.3046,1,0.8902,,up,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,221.5203,2,1.4502,,up,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,224.8032,3,1.8555,,up,1.5,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,663f855c7b165c38262a6204,A,2024-07-02_12h44.46.239,Slot Machine Game,2023.1.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,228.9866,4,2.92,,up,0.5,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
