participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,125.9872,space,7.5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,133.5949,space,16.3194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,149.9315,space,14.7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",164.7378,left,1.2259,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,167.3328,left,4.575,,1,,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,173.2331,left,1.7121,,0.5,,stimuli/card_10_transparent.png,120,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,175.7648,left,1.9972,,1,,stimuli/card_10_transparent.png,130,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,179.0802,left,3.199,,1,,stimuli/card_10_transparent.png,140,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,183.6001,up,0.2957,,0.5,,stimuli/card_100_transparent.png,240,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,184.7144,up,2.3588,,0.5,,stimuli/card_100_transparent.png,340,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,187.8994,up,1.1283,,0.5,,stimuli/card_100_transparent.png,440,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,189.848,up,1.173,,0.5,,stimuli/card_100_transparent.png,540,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,191.8487,up,1.2316,,1,,stimuli/card_0_transparent.png,540,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,194.4004,right,0.6635,,1,,stimuli/card_10_transparent.png,550,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,196.3815,right,2.3389,,0.5,,stimuli/card_100_transparent.png,650,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,199.5485,right,1.0477,,1.5,,stimuli/card_100_transparent.png,750,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,202.4182,right,0.8044,,1,,stimuli/card_100_transparent.png,850,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,204.5494,right,0.7819,,1,,stimuli/card_100_transparent.png,950,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6535,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,211.6521,up,1.2917,,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,2023-10-02_13h21.10.805,slotMachine_updated,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,214.7784,left,0.5529,,1.5,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
