key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
0.0004,space,6.1513,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,147.7604,space,53.5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,201.2908,space,11.7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,213.0502,space,4.8309,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",217.9153,up,2.4188,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,221.672,up,0.5657,,1,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,223.5549,left,0.5383,,1,,stimuli/card_10_transparent.png,110,10,2,0,2,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,225.4021,right,0.3983,,1,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,227.117,up,0.3675,,1.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,229.2987,up,0.5457,,0.5,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,230.6562,up,0.5779,,0.5,,stimuli/card_100_transparent.png,410,100,6,0,6,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,232.0534,up,0.2648,,0.5,,stimuli/card_100_transparent.png,510,100,7,0,7,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,233.1254,up,0.1013,,0.5,,stimuli/card_100_transparent.png,610,100,8,0,8,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,234.0368,up,0.3348,,0.5,,stimuli/card_0_transparent.png,610,0,9,0,9,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,235.1873,up,0.4634,,1,,stimuli/card_10_transparent.png,620,10,10,0,10,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,236.968,up,0.6055,,0.5,,stimuli/card_0_transparent.png,620,0,11,0,11,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,238.3822,right,0.1576,,0.5,,stimuli/card_100_transparent.png,720,100,12,0,12,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,239.3488,right,0.3012,,1.5,,stimuli/card_100_transparent.png,820,100,13,0,13,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,241.4504,right,0.0012,,1,,stimuli/card_100_transparent.png,920,100,14,0,14,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.7629,0,0,0,0,1,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",247.7707,right,0.6526,,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,250.2405,left,0.3674,,1.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,252.4241,left,0.6516,,1,,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,254.3879,up,2.9832,,0.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,
,,,,,2023-10-09_15h55.44.902,SlotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,258.1842,left,0.9013,,0.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,
