key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,text_block_break.started
0.0005,space,0.9196,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,142.5324,space,1.1323,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,143.6821,space,0.7166,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,144.4155,space,1.4686,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",2.1139,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,1,0,1,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,,,,2,0,2,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,2.5331,,up,1.5,,stimuli/card_100_transparent.png,110,100,3,0,3,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,2.3536,,right,0.5,,stimuli/card_0_transparent.png,110,0,4,0,4,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,1.9051,,left,1.5,,stimuli/card_10_transparent.png,120,10,5,0,5,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,6,0,6,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,7,0,7,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,,,,8,0,8,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,9,0,9,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,10,0,10,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,,,,11,0,11,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,12,0,12,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,13,0,13,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,14,0,14,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",[],,[],0.5,,,,,0,0,0,0,1,221.2222
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,,,,1,0,1,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,2,0,2,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,3,0,3,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,4,0,4,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,,,,5,0,5,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,6,0,6,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,7,0,7,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,8,0,8,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,9,0,9,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,10,0,10,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,,,,11,0,11,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,12,0,12,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,13,0,13,0,1,
,,,,,2023-10-27_13h14.04.626,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,,,,14,0,14,0,1,
