key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",reward_Img,Cuml_rew,currentPracticeTrialReward,text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0004,space,44.4902,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,186.1968,space,16.7475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,202.9715,space,5.0964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,208.0949,space,9.2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",[],,[],1.5,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
