key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,key_resp_instruction4.started,key_resp_instruction4.keys,key_resp_instruction4.rt,key_resp_instruction4.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,reward_Img,Cuml_rew,currentPracticeTrialReward,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
0.0005,space,1.1217,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,1.1301,space,1.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,2.2628,space,1.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,3.7817,space,8.2651,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,153.7636,space,196.1744,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",[],,[],1,,0,0,0,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,1.5091,,left,1.5,,1,0,1,0,1,stimuli/card_10_transparent.png,10,10,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,0.1367,,up,1.5,,2,0,2,0,1,stimuli/card_0_transparent.png,10,0,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,0.3848,,right,1.5,,3,0,3,0,1,stimuli/card_0_transparent.png,10,0,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,0.5148,,up,1.5,,4,0,4,0,1,stimuli/card_100_transparent.png,110,100,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,0.0811,,left,0.5,,5,0,5,0,1,stimuli/card_10_transparent.png,120,10,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,6,0,6,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,7,0,7,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,8,0,8,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,9,0,9,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,10,0,10,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,11,0,11,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,12,0,12,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,13,0,13,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,14,0,14,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",[],,[],1.5,,0,0,0,0,1,,,,,415.787,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,1,0,1,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,2,0,2,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,3,0,3,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,4,0,4,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,5,0,5,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,6,0,6,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,7,0,7,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1,,8,0,8,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,9,0,9,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,10,0,10,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,11,0,11,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],0.5,,12,0,12,0,1,,,,,,,
,,,,,2023-10-31_11h14.58.893,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,[],,[],1.5,,13,0,13,0,1,,,,,,,
