key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0006,space,3.3025,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,3.3336,space,7.8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,11.1816,space,35.5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,46.8004,space,7.8458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,196.5456,left,8.4893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",205.0993,0,1.6832,206.8018,left,1,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,,,208.0923,1,1.1674,209.2835,left,0.5,"[2,1,3]",stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,,,210.102,2,1.0083,211.1389,left,1.5,"[2,1,3]",stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58e558cc728bea0001bbda24,C,2024-10-23_12h38.43.125,Slot Machine Game,2023.1.3,Win32,59.52380952,58e558cc728bea0001bbda24,67167c13dd87566d3602e731,6719264396d87ffe4e9da6a8,,,,,,,,,,,,,,,,,,,212.9328,3,1.6166,214.5741,left,1.5,"[2,1,3]",stimuli/card_10_transparent.png,120,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
