key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
0.0008,space,1.7897,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,1.8149,space,3.6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,5.5177,space,2.1982,,,,,,,,,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,7.7922,space,0.6466,,,,,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,151.0779,lcommand,2748.7173,,,,,,,,,,,,,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",2899.8534,0,1.5,,0,0,0,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,3493.4457,1,1,,1,0,1,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,38518.5623,2,0.5,,2,0,2,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39564.0923,3,1.5,,3,0,3,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39569.6069,4,1.5,,4,0,4,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39575.1187,5,1.5,,5,0,5,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39580.6298,6,1,,6,0,6,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39586.1414,7,1.5,,7,0,7,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39591.6531,8,1.5,,8,0,8,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39597.1634,9,0.5,,9,0,9,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39602.6785,10,1,,10,0,10,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39608.1878,11,1.5,,11,0,11,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39613.7002,12,0.5,,12,0,12,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39619.2115,13,1,,13,0,13,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39624.7215,14,0.5,,14,0,14,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",39635.2386,0,0.5,,0,0,0,0,1,,39630.2353,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39640.756,1,0.5,,1,0,1,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39646.2704,2,1,,2,0,2,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39651.7793,3,1.5,,3,0,3,0,1,,,,
,,,,test,A,2024-05-06_17h08.43.337,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,39657.2912,4,1.5,,4,0,4,0,1,,,,
