key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0008,space,3.5832,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,3.6211,space,18.8812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,22.5401,space,38.3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,61.0071,space,11.6691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,214.9042,right,3.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",218.114,0,1.8716,219.999,left,1.5,"[2,1,3]",stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,221.8053,1,2.0526,223.8883,up,1.5,"[2,1,3]",stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,225.6922,2,3.1237,228.8652,up,1,"[2,1,3]",stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,230.1653,3,1.352,231.5496,up,0.5,"[2,1,3]",stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
