participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,124.9837,down,10.2598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,135.2768,down,5.2719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,140.5838,down,3.4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",144.0304,up,1.6285,,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,146.4882,,,,0.5,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,152.0006,up,2.2006,,1.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,156.014,up,1.6271,,0.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,158.4513,up,1.4606,,0.5,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,160.7353,up,1.2309,,1.5,,stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
