key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0004,right,4.0539,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,145.7167,right,17.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,162.7784,right,13.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,175.8867,right,286.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",462.0512,1.4721,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,464.8641,1.6806,,up,1,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,467.8621,1.3483,,up,0.5,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,470.0296,0.2847,,up,0.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,471.1305,0.0177,,up,1.5,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,472.9623,0.3502,,up,0.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,474.1294,0.485,,up,0.5,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,475.4293,0.5599,,up,1,,stimuli/card_10_transparent.png,620,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,477.3133,0.3157,,right,1.5,,stimuli/card_0_transparent.png,620,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,479.4468,0.2334,,left,0.5,,stimuli/card_10_transparent.png,630,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,480.4974,0.4623,,left,0.5,,stimuli/card_10_transparent.png,640,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
