key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,block_reward,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0036,space,1.3306,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,1.3695,space,0.6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,1.9897,space,0.3885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,2.4001,space,0.4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,144.4542,space,30.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",174.6089,0,2.1251,,left,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,179.0346,1,0.1318,0.0012,up,1.5,,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,181.47,2,0.2422,0.0048,up,1,,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,183.5437,3,3.3979,,up,1,,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
