key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,block_reward,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
0.0015,space,1.2934,0.0006,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,1.3173,space,0.7635,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,2.1013,space,0.0024,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,2.1287,space,0.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,143.865,space,99.2896,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",243.1935,0,0.6305,,up,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,245.1369,1,0.0004,0.015,left,1.5,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,247.5215,2,0.1273,,up,1.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,249.9676,3,,,,1.5,,,,,3,0,3,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,255.4785,4,,,,1,,,,,4,0,4,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,260.9798,5,,,,1,,,,,5,0,5,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,266.4838,6,,,,0.5,,,,,6,0,6,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,271.9872,7,,,,1,,,,,7,0,7,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,277.4892,8,,,,1.5,,,,,8,0,8,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,282.9949,9,,,,0.5,,,,,9,0,9,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,288.5144,10,,,,0.5,,,,,10,0,10,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,294.017,11,,,,1,,,,,11,0,11,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,299.5212,12,,,,0.5,,,,,12,0,12,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,305.0384,13,,,,0.5,,,,,13,0,13,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,310.5415,14,,,,1.5,,,,,14,0,14,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",321.048,0,,,,1,,,,,0,0,0,0,1,,316.0443,[110],,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,326.5541,1,,,,1,,,,,1,0,1,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,332.0706,2,,,,1.5,,,,,2,0,2,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,337.5747,3,,,,1,,,,,3,0,3,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,343.0772,4,,,,0.5,,,,,4,0,4,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,348.5785,5,,,,1.5,,,,,5,0,5,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,354.0828,6,,,,1.5,,,,,6,0,6,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,359.5863,7,,,,1,,,,,7,0,7,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,365.089,8,,,,1.5,,,,,8,0,8,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,370.5929,9,,,,0.5,,,,,9,0,9,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,376.095,10,,,,1,,,,,10,0,10,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,381.5978,11,,,,1.5,,,,,11,0,11,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,387.1009,12,,,,1,,,,,12,0,12,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,392.6036,13,,,,0.5,,,,,13,0,13,0,1,,,,,
,,,,ember,A,2024-05-08_14h38.40.049,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,398.1067,14,,,,0.5,,,,,14,0,14,0,1,,,,,
