key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1"
0.0017,space,1.231,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,1.2522,space,0.3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,1.6016,space,0.1528,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,1.7856,space,0.1804,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,143.8493,space,6.1659,,,,,,,,,,,,,,,,,,,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",150.0507,0,1.3052,151.3958,up,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,153.2448,1,1.6424,154.8938,up,1,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,156.1935,2,0.5766,156.777,up,1.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,158.5766,3,0.5883,159.176,up,1,,stimuli/card_10_transparent.png,120,10,3,0,3,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,160.4773,4,0.6029,161.0923,up,0.5,,stimuli/card_100_transparent.png,220,100,4,0,4,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,161.8871,5,1.2305,163.1333,up,0.5,,stimuli/card_100_transparent.png,320,100,5,0,5,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,163.9376,6,0.5783,164.5374,up,1.5,,stimuli/card_100_transparent.png,420,100,6,0,6,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,166.3275,7,,,,1.5,,,,,7,0,7,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,171.8427,8,,,,1,,,,,8,0,8,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,177.3565,9,0.621,177.9877,up,1.5,,stimuli/card_0_transparent.png,420,0,9,0,9,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,179.7869,10,0.5505,180.3539,right,1.5,,stimuli/card_10_transparent.png,430,10,10,0,10,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,182.1429,11,0.5922,182.7488,left,0.5,,stimuli/card_0_transparent.png,430,0,11,0,11,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,183.5478,12,0.542,184.0948,left,1.5,,stimuli/card_10_transparent.png,440,10,12,0,12,0,1,
,,,,emberfinaltest,B,2024-08-15_15h23.34.339,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,185.8812,13,,,,1,,,,,13,0,13,0,1,
