key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_resp_rt,practice_resp_duration,practice_resp_keys,reward_img,cumulative_reward,trial_reward,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0005,return,1.4031,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,1.4417,return,0.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,2.4244,space,0.8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,3.2752,space,0.4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,672.0015,return,1.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",673.13,0,1,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,678.6605,1,1,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,684.1774,2,0.5,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,689.692,3,1.5,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
