participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9526,space,10.9008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,135.9396,space,4.8915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,3.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,143.898,up,2.313,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,148.0622,up,0.9642,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,150.8343,up,0.4195,,1.5,"[2,1,3]",stimuli/card_0_transparent.png,200,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,153.0666,up,0.4664,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,210,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,155.3531,up,0.1195,,0.5,"[2,1,3]",stimuli/card_10_transparent.png,220,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,156.2858,up,1.6119,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,320,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,159.7072,up,0.9493,,1,"[2,1,3]",stimuli/card_100_transparent.png,420,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
,2023-08-21_15h05.22.335,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,161.9787,up,0.3314,,1,"[2,1,3]",stimuli/card_100_transparent.png,520,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
