participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.95,space,10.783,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,135.7557,space,23925.4688,,,,,,,,,,,,,,,,,,,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,787.4398,,,,,,,,,,,,,,,,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24848.7184,up,1.7342,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24851.3302,up,2.1309,,1,"[2,1,3]",stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24854.7741,up,1.5044,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24857.0908,up,0.5057,,1,"[2,1,3]",stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24858.9202,up,1.1765,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24860.9202,up,1.0274,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,600,100,5,0,5,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24863.7715,up,0.5516,,1,"[2,1,3]",stimuli/card_10_transparent.png,610,10,6,0,6,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24865.6342,left,3.1367,,0.5,"[2,1,3]",stimuli/card_10_transparent.png,620,10,7,0,7,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24869.5825,right,0.3457,,1.5,"[2,1,3]",stimuli/card_0_transparent.png,620,0,8,0,8,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24871.7522,left,2.1388,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,630,10,9,0,9,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24875.6969,up,0.6436,,1,"[3,2,1]",stimuli/card_10_transparent.png,640,10,10,0,10,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24877.6614,right,0.5798,,1,"[3,2,1]",stimuli/card_0_transparent.png,640,0,11,0,11,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24879.5599,right,0.2667,,0.5,"[3,2,1]",stimuli/card_0_transparent.png,640,0,12,0,12,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24880.6408,right,0.3293,,1,"[3,2,1]",stimuli/card_100_transparent.png,740,100,13,0,13,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24882.2908,right,0.6288,,0.5,"[3,2,1]",stimuli/card_100_transparent.png,840,100,14,0,14,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24883.7399,right,1.0851,,0.5,"[3,2,1]",stimuli/card_100_transparent.png,940,100,15,0,15,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24885.6379,right,0.8734,,1.5,"[3,2,1]",stimuli/card_10_transparent.png,950,10,16,0,16,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24888.3332,right,0.3298,,1,"[3,2,1]",stimuli/card_100_transparent.png,1050,100,17,0,17,0,1,,,,
,2023-08-28_11h26.16.344,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,24889.9826,right,0.5296,,0.5,"[3,2,1]",stimuli/card_0_transparent.png,1050,0,18,0,18,0,1,,,,
