participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9328,space,31.7671,,,,,,,,,,,,,,,,,,,,,,
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,156.7186,space,2.4671,,,,,,,,,,,,,,,,,,
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,2.7244,,,,,,,,,,,,,,,
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,161.9533,up,1.4666,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,164.29,left,1.8334,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,110,10,1,0,1,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,167.957,right,0.9364,,1.5,"[2,1,3]",stimuli/card_0_transparent.png,110,0,2,0,2,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,170.7217,up,0.4909,,0.5,"[2,1,3]",stimuli/card_10_transparent.png,120,10,3,0,3,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,172.023,up,0.4098,,0.5,"[2,1,3]",stimuli/card_10_transparent.png,130,10,4,0,4,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,173.2566,up,0.3115,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,230,100,5,0,5,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,174.3938,up,1.4621,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,240,10,6,0,6,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,177.6791,up,0.5208,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,340,100,7,0,7,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,180.0282,up,0.4464,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,440,100,8,0,8,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,182.295,up,0.5045,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,540,100,9,0,9,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,183.6179,up,0.466,,1,"[3,2,1]",stimuli/card_10_transparent.png,550,10,10,0,10,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,185.4179,up,0.535,,0.5,"[3,2,1]",stimuli/card_10_transparent.png,560,10,11,0,11,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,186.7838,right,1.3201,,1.5,"[3,2,1]",stimuli/card_100_transparent.png,660,100,12,0,12,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,189.933,right,0.4218,,1,"[3,2,1]",stimuli/card_100_transparent.png,760,100,13,0,13,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,191.6825,right,0.5589,,1.5,"[3,2,1]",stimuli/card_100_transparent.png,860,100,14,0,14,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,194.0564,right,0.3405,,1.5,"[3,2,1]",stimuli/card_100_transparent.png,960,100,15,0,15,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,196.2225,right,0.4751,,1,"[3,2,1]",stimuli/card_100_transparent.png,1060,100,16,0,16,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,198.0232,right,0.2172,,1,"[3,2,1]",stimuli/card_100_transparent.png,1160,100,17,0,17,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,199.5779,right,0.2614,,0.5,"[3,2,1]",stimuli/card_100_transparent.png,1260,100,18,0,18,0,1
,2023-08-29_12h31.48.284,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,200.6729,right,0.3259,,0.5,"[3,2,1]",stimuli/card_100_transparent.png,1360,100,19,0,19,0,1
