participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9346,space,5.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,130.4254,space,3.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,4.5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,138.0897,up,1.6335,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,141.5888,up,0.6742,,1,"[2,1,3]",stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,143.5881,up,0.5462,,1,"[2,1,3]",stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,145.4577,up,0.382,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,146.6581,up,0.4264,,1,"[2,1,3]",stimuli/card_0_transparent.png,400,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,148.4098,up,0.3328,,0.5,"[2,1,3]",stimuli/card_0_transparent.png,400,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,149.5594,up,0.3022,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,500,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,151.6758,up,0.3374,,1,"[2,1,3]",stimuli/card_100_transparent.png,600,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,153.3422,up,0.3417,,1,"[2,1,3]",stimuli/card_100_transparent.png,700,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,155.0116,up,0.2741,,0.5,"[2,3,1]",stimuli/card_0_transparent.png,700,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,156.1141,up,0.4388,,0.5,"[2,3,1]",stimuli/card_0_transparent.png,700,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,157.3634,up,0.4341,,1,"[2,3,1]",stimuli/card_0_transparent.png,700,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,159.1157,right,0.4687,,1,"[2,3,1]",stimuli/card_100_transparent.png,800,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,160.8983,right,0.2655,,1,"[2,3,1]",stimuli/card_100_transparent.png,900,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,162.481,right,0.3467,,1.5,"[2,3,1]",stimuli/card_100_transparent.png,1000,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,164.6483,space,0.9913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6537,165.6537,space,1.6014,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[12,15],[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]","[12,15]","[[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]",167.272,up,1.5909,,0.5,"[2,1,3]",0.136473231,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.7055,left,0.9978,,0.5,"[2,1,3]",0.842442969,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5218,up,0.7192,,1.5,"[2,1,3]",0.289835964,stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0691,right,0.8128,,1,"[2,1,3]",0.940488232,stimuli/card_0_transparent.png,120,0,3,0,3,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2089,up,0.3764,,0.5,"[2,1,3]",0.175396434,stimuli/card_10_transparent.png,130,10,4,0,4,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.3914,left,0.4954,,1.5,"[2,1,3]",0.396992526,stimuli/card_10_transparent.png,140,10,5,0,5,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.7109,up,0.2744,,1,"[2,1,3]",0.857507679,stimuli/card_100_transparent.png,240,100,6,0,6,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3119,up,0.457,,0.5,"[2,1,3]",0.439043237,stimuli/card_100_transparent.png,340,100,7,0,7,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5931,up,0.6883,,0.5,"[2,1,3]",0.798844523,stimuli/card_100_transparent.png,440,100,8,0,8,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.1093,up,0.7417,,1.5,"[2,1,3]",0.054417073,stimuli/card_0_transparent.png,440,0,9,0,9,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6809,up,0.0725,,1,"[2,1,3]",0.73192094,stimuli/card_100_transparent.png,540,100,10,0,10,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0641,up,0.6299,,1.5,"[2,1,3]",0.375108744,stimuli/card_100_transparent.png,640,100,11,0,11,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5266,up,0.1257,,0.5,"[2,3,1]",0.134407319,stimuli/card_10_transparent.png,650,10,12,0,12,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4841,up,0.6358,,1,"[2,3,1]",0.494390227,stimuli/card_0_transparent.png,650,0,13,0,13,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4485,up,0.3366,,1.5,"[2,3,1]",0.113838272,stimuli/card_10_transparent.png,660,10,14,0,14,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6029,0,0,0,0,1
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]","[6,15]","[[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]",200.6072,up,0.69,,1,"[1,3,2]",0.132960881,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.6196,right,0.7285,,1,"[1,3,2]",0.995252326,stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.6725,up,0.6075,,0.5,"[1,3,2]",0.335418289,stimuli/card_0_transparent.png,20,0,2,0,2,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.1085,up,0.7362,,0.5,"[1,3,2]",0.394034789,stimuli/card_0_transparent.png,20,0,3,0,3,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.6586,up,0.9079,,1.5,"[1,3,2]",0.872481237,stimuli/card_0_transparent.png,20,0,4,0,4,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.3769,up,1.4142,,0.5,"[1,3,2]",0.932329437,stimuli/card_0_transparent.png,20,0,5,0,5,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.6115,up,0.7181,,1,"[3,2,1]",0.968762958,stimuli/card_10_transparent.png,30,10,6,0,6,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.6435,up,0.2598,,1.5,"[3,2,1]",0.260638881,stimuli/card_10_transparent.png,40,10,7,0,7,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.7303,right,0.8381,,1.5,"[3,2,1]",0.714756745,stimuli/card_100_transparent.png,140,100,8,0,8,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.3829,right,0.389,,1,"[3,2,1]",0.275644478,stimuli/card_100_transparent.png,240,100,9,0,9,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.1005,right,0.2794,,1,"[3,2,1]",0.972004324,stimuli/card_100_transparent.png,340,100,10,0,10,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6983,right,0.3015,,1.5,"[3,2,1]",0.104252253,stimuli/card_10_transparent.png,350,10,11,0,11,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8142,right,0.0793,,1.5,"[3,2,1]",0.564794327,stimuli/card_100_transparent.png,450,100,12,0,12,0,1,,,,,,
