participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,125.9024,space,1.2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,127.2551,space,0.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,0.4708,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,128.4939,up,1.1179,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,130.4808,right,0.9564,,1.5,"[2,1,3]",stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,133.2614,up,0.3974,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,135.4788,up,0.0625,,1,"[2,1,3]",stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,136.8618,up,0.0433,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,138.7299,up,0.0753,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,140.6172,up,0.1392,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,600,100,6,0,6,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,141.5851,up,0.0089,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,700,100,7,0,7,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,143.4187,up,0.1334,,1,"[2,1,3]",stimuli/card_100_transparent.png,800,100,8,0,8,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,144.8665,up,0.0157,,1,"[2,3,1]",stimuli/card_0_transparent.png,800,0,9,0,9,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,146.1999,up,0.1207,,0.5,"[2,3,1]",stimuli/card_0_transparent.png,800,0,10,0,10,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,147.134,up,0.0485,,1,"[2,3,1]",stimuli/card_0_transparent.png,800,0,11,0,11,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,148.5015,up,0.0423,,1.5,"[2,3,1]",stimuli/card_0_transparent.png,800,0,12,0,12,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,150.3578,up,0.0336,,1.5,"[2,3,1]",stimuli/card_0_transparent.png,800,0,13,0,13,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,152.2061,up,0.0523,,0.5,"[2,3,1]",stimuli/card_0_transparent.png,800,0,14,0,14,0,1,,,,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,153.0728,space,0.8645,,,,,,
,2023-08-31_13h28.37.369,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9573,153.9574,space,5.9852,
