participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9429,space,2.0443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,127.1113,space,0.7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,space,0.6741,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,128.6137,up,1.0331,,0.5,"[2,1,3]",stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,130.5132,up,0.5428,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,132.8789,up,0.6742,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,134.3791,up,0.8904,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,137.1005,up,0.0296,,1,"[2,1,3]",stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,138.4501,up,0.3844,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,139.6521,up,1.1536,,1,"[2,1,3]",stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,142.1347,up,1.6574,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,710,100,7,0,7,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,145.617,up,0.0949,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,810,100,8,0,8,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,147.5221,up,0.2757,,1.5,"[2,3,1]",stimuli/card_0_transparent.png,810,0,9,0,9,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,149.6233,up,0.1967,,1.5,"[2,3,1]",stimuli/card_0_transparent.png,810,0,10,0,10,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,151.6413,right,0.2651,,1,"[2,3,1]",stimuli/card_100_transparent.png,910,100,11,0,11,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,153.2248,up,0.218,,0.5,"[2,3,1]",stimuli/card_0_transparent.png,910,0,12,0,12,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,154.2747,right,0.0005,,0.5,"[2,3,1]",stimuli/card_10_transparent.png,920,10,13,0,13,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,155.0918,right,1.2539,,0.5,"[2,3,1]",stimuli/card_100_transparent.png,1020,100,14,0,14,0,1,,,,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,157.1613,space,1.7376,,,,,,,,
,2023-08-31_14h24.12.656,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.9106,1,"[0,1,2,3,4,5,6,7,8,9]",158.9107,space,1.1239,
