participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,125.0509,space,325.4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,450.5369,space,1.5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,space,0.4797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,452.6564,up,1.6613,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,456.2199,right,0.7044,,0.5,"[2,1,3]",stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,457.7616,left,0.462,,1.5,"[2,1,3]",stimuli/card_10_transparent.png,110,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,460.0418,up,0.5608,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,461.4259,up,0.9764,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,464.2273,up,0.433,,1.5,"[2,1,3]",stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,466.4939,up,0.3194,,0.5,"[2,1,3]",stimuli/card_0_transparent.png,410,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,467.6424,up,0.523,0.0003,1.5,"[2,1,3]",stimuli/card_100_transparent.png,510,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,469.9827,up,0.1025,,0.5,"[2,1,3]",stimuli/card_100_transparent.png,610,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,470.9152,up,0.4053,,1,"[2,3,1]",stimuli/card_0_transparent.png,610,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,472.6484,up,0.4143,,1,"[2,3,1]",stimuli/card_0_transparent.png,610,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,474.382,right,0.5814,,0.5,"[2,3,1]",stimuli/card_10_transparent.png,620,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,475.7818,left,0.5884,,1,"[2,3,1]",stimuli/card_10_transparent.png,630,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,477.6974,left,0.5452,,1,"[2,3,1]",stimuli/card_10_transparent.png,640,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,479.5713,right,0.2849,,1.5,"[2,3,1]",stimuli/card_100_transparent.png,740,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,481.6852,space,16.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.7596,1,"[0,1,2,3,4,5,6,7,8,9]",497.7597,space,5.3681,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""12,15"",""6,15"",""15,15"",""7,15"",""5,15"",""4,10,15"",""9,15"",""11,15"",""8,15"",""10,15""]","12,15","[""12,15"",""6,15"",""15,15"",""7,15"",""5,15"",""4,10,15"",""9,15"",""11,15"",""8,15"",""10,15""]",503.1522,up,1.1604,,1,"[2,1,3]",0.589268499,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,
