participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,124.9507,space,3.1449,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,128.2122,space,0.4737,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,128.7109,space,0.4977,,,,,,,,,,,,,,,,,
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"9,15","[[2,1,3],[2,3,1]]",129.2323,up,1.7292,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,132.3807,up,0.3331,,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,134.0282,up,0.4393,,0.5,,stimuli/card_10_transparent.png,210,10,2,0,2,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,135.2947,left,0.0736,,1,,stimuli/card_10_transparent.png,220,10,3,0,3,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,136.6945,left,0.0066,,1,,stimuli/card_100_transparent.png,320,100,4,0,4,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,138.0241,left,0.1245,,0.5,,stimuli/card_10_transparent.png,330,10,5,0,5,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,138.9736,left,0.0726,,1.5,,stimuli/card_0_transparent.png,330,0,6,0,6,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,140.8721,left,0.0146,,1.5,,stimuli/card_100_transparent.png,430,100,7,0,7,0,1
,2023-09-26_10h30.27.311,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,142.7031,left,0.7649,,0.5,,stimuli/card_10_transparent.png,440,10,8,0,8,0,1
