participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9579,space,1.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,126.3234,space,1.2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,127.5394,space,3.9129,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",131.466,up,1.0168,,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,134.3452,up,0.5908,,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,136.7649,up,0.3355,,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,138.4332,up,0.3279,,0.5,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,139.5823,up,0.5306,,1,,stimuli/card_10_transparent.png,410,10,4,0,4,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,141.4356,up,0.2494,,0.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,142.5024,up,0.3249,,0.5,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,143.6519,up,0.4061,,1.5,,stimuli/card_100_transparent.png,710,100,7,0,7,0,1,,,,,,,
,2023-09-26_11h15.06.387,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,145.8847,up,0.6828,,1.5,,stimuli/card_100_transparent.png,810,100,8,0,8,0,1,,,,,,,
