participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,124.9578,space,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,125.7075,space,0.3734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,126.0896,space,0.3323,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",126.4463,up,1.0842,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,128.9148,up,1.6735,,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,132.4131,up,0.5597,,0.5,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,133.7958,up,0.2383,,0.5,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,134.8626,up,0.1492,,1,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,
,2023-09-26_11h34.02.226,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,136.3292,up,0.0115,,0.5,,stimuli/card_100_transparent.png,600,100,5,0,5,0,1,,,,,,,,,
