participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,125.0646,space,3.6276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,128.7149,space,0.4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,129.2299,space,0.4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",129.7359,up,2.7688,,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,133.3608,up,2.1045,,1.5,,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,137.2938,,,,1.5,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,142.8201,right,1.8073,,0.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,145.4515,up,1.6651,,1,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,148.4354,up,1.2607,,1.5,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
