participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,mainConditions,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,124.934,space,43.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,168.0929,space,0.3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,168.507,space,0.4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",168.9961,left,2.4189,,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,172.273,up,0.6829,,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,174.288,up,0.0416,,1.5,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,176.1508,up,1.2072,,0.5,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,178.1865,up,0.0888,,1.5,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,180.1006,up,0.0017,,1,,stimuli/card_10_transparent.png,510,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,181.4147,up,0.4208,,1.5,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,183.6647,up,0.0009,,1.5,,stimuli/card_100_transparent.png,710,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,185.479,up,0.2233,,0.5,,stimuli/card_100_transparent.png,810,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,186.5183,up,0.2598,,1.5,,stimuli/card_10_transparent.png,820,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,188.5999,up,0.0736,,0.5,,stimuli/card_0_transparent.png,820,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,189.4996,right,0.2114,,1,,stimuli/card_100_transparent.png,920,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,191.0304,right,0.1037,,1,,stimuli/card_100_transparent.png,1020,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,192.4682,right,0.0473,,1.5,,stimuli/card_100_transparent.png,1120,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,194.3451,right,0.0237,,1.5,,stimuli/card_0_transparent.png,1120,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.194,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,201.1951,left,1.8129,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,204.3373,left,0.4004,,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,206.5566,left,0.5222,,1.5,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,208.9023,left,2.5732,,1,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,212.8012,left,0.0594,,1.5,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,214.6806,left,0.5627,,0.5,,stimuli/card_100_transparent.png,600,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,216.0633,left,3.7253,,1,,stimuli/card_0_transparent.png,600,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,221.1158,up,0.1163,,1,,stimuli/card_100_transparent.png,700,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,222.5458,up,0.3625,,1,,stimuli/card_100_transparent.png,800,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,224.2275,up,0.0745,,0.5,,stimuli/card_100_transparent.png,900,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,225.1295,up,0.056,,1,,stimuli/card_100_transparent.png,1000,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,226.5092,up,0.3106,,0.5,,stimuli/card_0_transparent.png,1000,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,227.6511,up,0.0457,,1,,stimuli/card_100_transparent.png,1100,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,229.0146,up,0.026,,0.5,,stimuli/card_100_transparent.png,1200,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,229.8654,up,0.0241,,0.5,,stimuli/card_100_transparent.png,1300,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7139,space,1.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.7981,3,"[0,4,6,3,5,7,8,1,9,2]",231.7981,space,0.9626,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[12,15],[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]","[12,15]","[[2,1,3],[2,3,1]]",232.7838,up,2.0943,,1.5,"[2,1,3]",0.405431412,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7302,right,0.4988,,1.5,"[2,1,3]",0.076219004,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0449,right,0.4682,,1.5,"[2,1,3]",0.408800197,stimuli/card_0_transparent.png,200,0,2,0,2,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.3404,up,0.5513,,0.5,"[2,1,3]",0.960092624,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.7054,up,1.065,,1,"[2,1,3]",0.323801067,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0867,up,1.6625,,1,"[2,1,3]",0.74718766,stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0712,up,1.2058,,1.5,"[2,1,3]",0.402223996,stimuli/card_100_transparent.png,600,100,6,0,6,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1022,up,1.5118,,1.5,"[2,1,3]",0.644096662,stimuli/card_100_transparent.png,700,100,7,0,7,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4158,up,0.4098,,0.5,"[2,1,3]",0.989436153,stimuli/card_100_transparent.png,800,100,8,0,8,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6472,up,2.1989,,0.5,"[2,1,3]",0.429022887,stimuli/card_100_transparent.png,900,100,9,0,9,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.6829,up,0.519,,1.5,"[2,1,3]",0.914633181,stimuli/card_100_transparent.png,1000,100,10,0,10,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0121,up,1.75,,0.5,"[2,1,3]",0.847754263,stimuli/card_100_transparent.png,1100,100,11,0,11,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5776,up,2.6254,,0.5,"[2,3,1]",0.171240682,stimuli/card_10_transparent.png,1110,10,12,0,12,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0266,right,0.6171,,1.5,"[2,3,1]",0.676671172,stimuli/card_100_transparent.png,1210,100,13,0,13,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.4576,right,0.7327,,1,"[2,3,1]",0.840026025,stimuli/card_100_transparent.png,1310,100,14,0,14,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.5049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[15],[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]","[5,15]","[[1,2,3],[3,1,2]]",276.5041,left,0.7431,,1.5,"[1,2,3]",0.696977241,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0686,left,0.3945,,0.5,"[1,2,3]",0.215027763,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.2827,left,0.8492,,1.5,"[1,2,3]",0.89176216,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.9473,left,2.6096,,1,"[1,2,3]",0.361244578,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.8778,left,0.2473,,1,"[1,2,3]",0.65776042,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.4443,left,1.258,,1,"[3,1,2]",0.219355117,stimuli/card_0_transparent.png,500,0,5,0,5,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0238,left,0.512,,1.5,"[3,1,2]",0.132219764,stimuli/card_10_transparent.png,510,10,6,0,6,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.3543,left,0.4245,,0.5,"[3,1,2]",0.76303705,stimuli/card_0_transparent.png,510,0,7,0,7,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.6045,left,2.4966,,1.5,"[3,1,2]",0.367798821,stimuli/card_0_transparent.png,510,0,8,0,8,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.9198,left,0.1239,,0.5,"[3,1,2]",0.754688097,stimuli/card_0_transparent.png,510,0,9,0,9,0,1,,,,,
,2023-09-27_18h33.56.573,slotMachine_updated,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.8535,left,1.8836,,1,"[3,1,2]",0.579378106,stimuli/card_0_transparent.png,510,0,10,0,10,0,1,,,,,
