participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,171.1533,space,1.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,172.7368,space,0.3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,173.155,space,0.3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",173.5409,up,1.763,,1,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,176.6363,right,0.7152,,1.5,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,179.1679,up,0.6477,,0.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,180.6275,left,0.3447,,0.5,,stimuli/card_10_transparent.png,210,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,181.7938,up,0.5312,,0.5,,stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,183.1421,up,0.2483,,1,,stimuli/card_0_transparent.png,310,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h05.53.292,slotMachine_updated,2023.1.3,MacIntel,30.02101471,,,,,,,,,,,,,,,184.7075,up,0.3472,,1.5,,stimuli/card_100_transparent.png,410,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
