key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran
0.0005,space,4.2293,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,139.9231,space,473.2904,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,613.2647,lcommand,41.6782,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,654.9659,minus,0.3134,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",655.3031,up,4.2089,,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,661.3431,up,0.3426,,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,663.0076,right,0.0642,,1,,stimuli/card_0_transparent.png,200,0,2,0,2,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,664.3887,left,0.1049,,1,,stimuli/card_10_transparent.png,210,10,3,0,3,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,665.8051,up,0.001,,1,,stimuli/card_100_transparent.png,310,100,4,0,4,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,667.1189,up,0.0303,,0.5,,stimuli/card_100_transparent.png,410,100,5,0,5,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,667.9658,,,,0.5,,,,,6,0,6,0,1
,,,,,2023-10-05_15h50.39.249,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,673.4969,,,,0.5,,,,,7,0,7,0,1
