key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration
0.0002,space,1.079,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,1.0929,space,0.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,1.495,space,0.3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,1.8615,space,0.2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,143.743,space,19.8453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",163.613,0,1.3838,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,166.3328,1,0.082,,up,1,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,167.7328,2,0.0106,,up,1,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,169.0649,3,0.1367,,up,1,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,170.5098,4,0.4344,,up,1.5,,stimuli/card_10_transparent.png,320,10,4,0,4,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,172.7606,5,1.5852,,up,1.5,,stimuli/card_100_transparent.png,420,100,5,0,5,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,176.1484,6,0.1043,,up,0.5,,stimuli/card_10_transparent.png,430,10,6,0,6,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,177.0658,7,0.0315,,up,1,,stimuli/card_10_transparent.png,440,10,7,0,7,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,178.4148,8,0.0092,,up,1.5,,stimuli/card_10_transparent.png,450,10,8,0,8,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,180.244,9,0.0992,,up,1,,stimuli/card_0_transparent.png,450,0,9,0,9,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,181.6594,10,0.1195,,up,1,,stimuli/card_0_transparent.png,450,0,10,0,10,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,183.092,11,0.0772,,up,1.5,,stimuli/card_100_transparent.png,550,100,11,0,11,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,184.9736,12,0.0497,,up,1,,stimuli/card_0_transparent.png,550,0,12,0,12,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,186.3336,13,0.2699,,up,1,,stimuli/card_0_transparent.png,550,0,13,0,13,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,187.9149,14,0.1418,,up,0.5,,stimuli/card_0_transparent.png,550,0,14,0,14,0,1,,,,,,,,,,,,,,
