key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,group_id,path_id,date,expName,psychopyVersion,OS,frameRate,study_id,session_id,prolific_pid,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0003,space,25.623,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,25.6472,space,12.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,38.4993,space,18.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,56.7766,space,13.4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,212.0194,space,4.5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",216.6112,0,1.4566,,up,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,219.9207,1,2.045,,up,1.5,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,223.7896,2,1.5762,,up,1.5,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,227.1881,3,1.4158,,up,1,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
