key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_resp_rt,practice_resp_duration,practice_resp_keys,reward_img,cumulative_reward,trial_reward,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
9.99999E-05,space,1.4078,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,1.5316,space,14.8402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,16.5088,space,39.5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,56.2068,space,11.3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,209.8745,space,1.9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",211.9726,0,1,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,217.5731,1,1.5,,1,0,1,0,1,0.7144,,left,stimuli/card_10_transparent.png,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,220.7564,2,0.5,,2,0,2,0,1,0.4288,,up,stimuli/card_100_transparent.png,110,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,222.6361,3,0.5,,3,0,3,0,1,0.4387,,up,stimuli/card_0_transparent.png,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,224.5429,4,1.5,,4,0,4,0,1,0.2965,,up,stimuli/card_100_transparent.png,210,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,227.3899,5,1,,5,0,5,0,1,0.286,,up,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,229.6052,6,0.5,,6,0,6,0,1,0.4415,,right,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,231.5112,7,1.5,,7,0,7,0,1,0.5883,,left,stimuli/card_10_transparent.png,220,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,234.5828,8,0.5,,8,0,8,0,1,0.8794,,up,stimuli/card_100_transparent.png,320,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,236.9085,9,1.5,,9,0,9,0,1,0.287,,up,stimuli/card_0_transparent.png,320,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,239.6868,10,0.5,,10,0,10,0,1,0.8675,,up,stimuli/card_0_transparent.png,320,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,241.9999,11,1.5,,11,0,11,0,1,0.7341,,left,stimuli/card_10_transparent.png,330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,245.1201,12,1.5,,12,0,12,0,1,0.0081,,right,stimuli/card_10_transparent.png,340,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,247.6105,13,0.5,,13,0,13,0,1,0.0078,,up,stimuli/card_0_transparent.png,340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,249.0588,14,0.5,,14,0,14,0,1,0.0082,,left,stimuli/card_10_transparent.png,350,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",255.5182,0,1.5,,0,0,0,0,1,1.0001,,left,stimuli/card_100_transparent.png,100,100,,250.5444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,259.0279,1,1,,1,0,1,0,1,1.8704,,left,stimuli/card_100_transparent.png,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,262.8196,2,1,,2,0,2,0,1,0.2914,,left,stimuli/card_100_transparent.png,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,265.0401,3,0.5,,3,0,3,0,1,0.0088,,left,stimuli/card_100_transparent.png,400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,266.5569,4,0.5,,4,0,4,0,1,0.1494,,left,stimuli/card_10_transparent.png,410,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,268.1583,5,1,,5,0,5,0,1,1.0167,,up,stimuli/card_0_transparent.png,410,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6643ca14c53f7ffbef7b9917,A,2024-07-07_11h24.59.429,Slot Machine Game,2023.1.3,Win32,8.992805755,,,,,,,,,,,,,,,,,,,271.2423,6,1.5,,6,0,6,0,1,0.0083,,right,stimuli/card_10_transparent.png,420,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
